portion_replicate,portions
50.0% - #1,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #2,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #3,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #4,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #5,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #6,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #7,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #8,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #9,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #10,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #11,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #12,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #13,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #14,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #15,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #16,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #17,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #18,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #19,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #20,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #21,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #22,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #23,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #24,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #25,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #26,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #27,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #28,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #29,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #30,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #31,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #32,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #33,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #34,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #35,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #36,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #37,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #38,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #39,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #40,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #41,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #42,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #43,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #44,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #45,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #46,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #47,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #48,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #49,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #50,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #51,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #52,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #53,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #54,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #55,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #56,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #57,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #58,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #59,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #60,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #61,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #62,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #63,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #64,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #65,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #66,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #67,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #68,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #69,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #70,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #71,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #72,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #73,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #74,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #75,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #76,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #77,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #78,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #79,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #80,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #81,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #82,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #83,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #84,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #85,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #86,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #87,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #88,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #89,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #90,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #91,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #92,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #93,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #94,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #95,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #96,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #97,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #98,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #99,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #100,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #101,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #102,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #103,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #104,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #105,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #106,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #107,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #108,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #109,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #110,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
