portion_replicate,portions
50.0% - #111,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #112,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #113,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #114,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #115,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #116,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #117,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #118,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #119,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #120,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #121,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #122,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #123,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #124,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #125,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #126,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #127,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #128,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #129,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #130,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #131,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #132,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #133,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #134,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #135,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #136,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #137,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #138,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #139,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #140,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #141,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #142,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #143,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #144,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #145,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #146,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #147,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #148,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #149,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #150,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #151,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #152,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #153,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #154,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #155,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #156,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #157,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #158,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #159,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #160,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #161,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #162,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #163,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #164,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #165,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #166,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #167,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #168,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #169,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #170,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #171,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #172,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #173,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #174,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #175,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #176,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #177,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #178,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #179,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #180,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #181,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #182,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #183,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #184,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #185,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #186,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #187,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #188,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #189,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #190,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #191,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #192,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #193,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #194,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #195,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #196,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #197,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #198,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #199,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #200,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #201,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #202,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #203,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #204,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #205,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #206,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #207,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #208,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #209,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #210,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #211,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #212,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #213,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #214,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #215,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #216,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #217,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #218,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #219,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #220,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #221,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #222,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #223,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #224,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #225,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #226,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #227,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #228,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #229,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #230,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #231,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #232,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #233,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #234,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #235,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #236,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #237,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #238,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #239,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #240,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #241,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #242,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #243,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #244,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #245,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #246,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #247,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #248,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #249,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #250,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #251,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #252,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #253,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #254,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #255,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #256,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #257,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #258,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #259,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #260,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #261,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #262,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #263,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #264,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #265,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #266,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #267,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #268,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #269,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #270,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #271,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #272,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #273,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #274,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #275,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #276,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #277,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #278,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #279,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #280,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #281,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #282,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #283,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #284,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #285,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #286,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #287,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #288,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #289,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #290,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #291,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #292,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #293,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #294,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #295,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #296,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
50.0% - #297,"[4, 3, 2, 7, 2, 6, 4, 0, 0, 0, 0, 0]"
