portion_replicate,portions
25.0% - #54,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #55,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #56,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #57,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #58,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #59,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #60,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #61,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #62,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #63,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #64,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #65,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #66,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #67,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #68,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #69,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #70,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #71,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #72,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #73,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #74,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #75,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #76,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #77,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #78,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #79,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #80,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #81,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #82,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #83,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #84,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #85,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #86,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #87,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #88,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #89,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #90,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #91,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #92,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #93,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #94,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #95,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #96,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #97,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #98,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #99,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #100,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #101,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #102,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #103,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #104,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #105,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #106,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #107,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #108,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #109,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #110,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #111,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #112,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #113,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #114,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #115,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #116,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #117,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #118,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #119,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #120,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #121,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #122,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #123,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #124,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #125,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #126,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #127,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #128,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #129,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #130,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #131,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #132,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #133,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #134,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #135,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #136,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #137,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #138,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #139,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #140,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #141,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #142,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #143,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #144,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #145,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #146,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #147,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #148,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #149,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #150,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #151,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #152,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #153,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #154,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #155,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #156,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #157,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #158,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #159,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #160,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #161,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #162,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #163,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #164,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #165,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #166,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #167,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #168,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #169,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #170,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #171,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #172,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #173,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #174,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #175,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #176,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #177,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #178,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #179,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #180,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #181,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #182,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #183,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #184,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #185,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #186,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #187,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #188,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #189,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #190,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #191,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #192,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #193,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #194,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #195,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #196,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #197,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #198,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #199,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #200,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #201,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #202,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #203,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #204,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #205,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #206,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #207,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #208,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #209,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #210,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #211,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #212,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #213,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #214,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #215,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #216,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #217,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #218,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #219,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #220,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #221,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #222,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #223,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #224,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #225,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #226,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #227,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #228,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #229,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #230,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #231,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #232,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #233,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #234,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #235,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #236,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #237,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #238,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #239,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #240,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #241,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #242,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #243,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #244,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #245,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #246,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #247,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #248,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #249,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #250,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #251,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #252,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #253,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #254,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #255,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #256,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #257,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #258,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #259,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #260,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #261,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #262,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #263,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #264,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #265,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #266,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #267,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #268,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #269,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #270,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #271,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #272,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #273,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #274,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #275,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #276,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #277,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #278,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #279,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #280,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #281,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #282,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #283,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #284,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #285,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #286,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #287,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #288,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #289,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #290,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #291,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #292,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #293,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #294,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #295,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #296,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #297,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
